9.424048978739288900e-001 -9.508761403068971800e+000
9.998766914279348900e-001 -9.895012964291035800e+000
1.127952820779362300e+000 -3.904822709859180600e+000
1.157936681816710500e+000 -1.605861744330539200e+000
1.202510554645833900e+000 1.940671938130194500e+000
1.314422096865679900e+000 8.869036982549690900e+000
1.398645599167923900e+000 9.813198077596094700e+000
1.458882224612567200e+000 7.804047162000441200e+000
1.545769275246878100e+000 1.988814246858684700e+000
1.603025472727923000e+000 -2.549859447665460800e+000
